ZipCode,CountyName,City,State,Metro,RentalPrice1Bedroom,RentalPrice2Bedroom,RentalPrice3Bedroom,RentalPrice4Bedroom,RentalPrice5Bedroom,RentalPriceCondoCoop,RentalPriceDuplexTriplex,ListingPrice1Bedroom,ListingPrice2Bedroom,ListingPrice3Bedroom,ListingPrice4Bedroom,ListingPrice5Bedroom,ListingPriceCondoCoop,ListingPriceDuplexTriplex,_RegionName_,_RegionType_,HouseValueFoercast,RentalValueFoercast,PropertyTaxRate
98052,King County,Redmond,WA,Seattle-Tacoma-Bellevue,2.806907378,2.094637224,1.687116564,1.338943237,null,null,null,null,400.1067236,null,398.2236867,null,401.3990268,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98103,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.967721344,2.486825069,1.87802789,2.320621344,null,null,null,null,610.5919003,500,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98115,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.667146974,2.13740458,1.810606061,2.020046974,null,null,null,null,null,479.4644231,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98133,King County,Shoreline,WA,Seattle-Tacoma-Bellevue,2.111278195,1.86626506,1.654929577,1.464178195,null,null,null,null,null,389.7311828,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98122,King County,Seattle,WA,Seattle-Tacoma-Bellevue,3.292507205,3.133159664,2.445516111,2.645407205,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98034,King County,Kirkland,WA,Seattle-Tacoma-Bellevue,2.181002923,1.867672126,1.704100138,1.533902923,null,null,null,null,363.1016043,409.2746114,370.7745395,null,354.6476487,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98104,King County,Seattle,WA,Seattle-Tacoma-Bellevue,3.147604147,3.021295475,2.716204147,2.500504147,null,null,null,null,null,null,null,null,692.3076923,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98005,King County,Bellevue,WA,Seattle-Tacoma-Bellevue,2.402912621,1.979166667,1.971512621,1.755812621,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98119,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.894669451,2.560390358,2.463269451,2.247569451,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98007,King County,Bellevue,WA,Seattle-Tacoma-Bellevue,2.878590078,2.662890078,2.447190078,2.231490078,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98101,King County,Seattle,WA,Seattle-Tacoma-Bellevue,3.527272727,3.117647059,3.095872727,2.880172727,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98112,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.863636364,2.49258899,2.432236364,2.216536364,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98126,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.594669643,2.391304348,2.163269643,1.947569643,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98055,King County,Renton,WA,Seattle-Tacoma-Bellevue,2.119834711,1.766666667,1.456888889,1.472734711,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98056,King County,Renton,WA,Seattle-Tacoma-Bellevue,2.260869565,1.79047619,1.550330639,1.613769565,null,null,null,null,null,319.2346296,310.2941176,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98107,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.962395543,2.545454545,2.530995543,2.315295543,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98032,King County,Kent,WA,Seattle-Tacoma-Bellevue,2.057866184,1.698646986,1.541631623,1.410766184,null,null,null,null,239.0649891,224.4779582,null,null,232.5876507,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98121,King County,Seattle,WA,Seattle-Tacoma-Bellevue,3.65942029,3.475663717,3.22802029,3.01232029,null,null,null,null,null,null,null,null,817.522894,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98116,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.798459564,2.30378578,1.974387365,2.151359564,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98144,King County,Seattle,WA,Seattle-Tacoma-Bellevue,3.073924731,2.858224731,2.642524731,2.426824731,null,null,null,null,null,473.3333333,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98109,King County,Seattle,WA,Seattle-Tacoma-Bellevue,3.4375,3.2218,3.0061,2.7904,null,null,null,null,null,null,null,null,638.7827238,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98125,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.310418907,1.942956349,1.879018907,1.663318907,null,null,null,null,null,425.1851852,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98004,King County,Bellevue,WA,Seattle-Tacoma-Bellevue,3.022747729,2.552412646,2.076719577,2.375647729,null,null,null,null,null,null,710.5263158,680.7228916,702.2274326,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98105,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.741623667,2.525923667,2.033089323,2.094523667,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98118,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.540983607,2.263369303,2.109583607,1.893883607,null,null,null,null,null,388.7535129,null,null,null,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98102,King County,Seattle,WA,Seattle-Tacoma-Bellevue,2.782608696,2.592284225,2.351208696,2.135508696,null,null,null,null,null,null,null,null,636.8627451,null,"Seattle, WA",Msa,0.015020482,-0.111361442,0.99%
98405,Pierce County,Tacoma,WA,Seattle-Tacoma-Bellevue,1.838461538,1.356,1.407061538,1.191361538,null,null,null,null,null,212.1212121,null,null,null,null,"Seattle, WA",Msa,0.015020482,9.823088023,1.24%
98402,Pierce County,Tacoma,WA,Seattle-Tacoma-Bellevue,2.305357143,2.089657143,1.873957143,1.658257143,null,null,null,null,null,null,null,null,null,null,"Seattle, WA",Msa,0.015020482,9.823088023,1.24%
98012,Snohomish County,Bothell,WA,Seattle-Tacoma-Bellevue,2.164149133,1.814134282,1.326185102,1.107003928,null,null,null,null,299.8042464,306.7551622,264.4013654,null,279.9272116,null,"Seattle, WA",Msa,0.015020482,3.806927518,1.05%
98208,Snohomish County,Seattle Hill-Silver Firs,WA,Seattle-Tacoma-Bellevue,1.88,1.649895178,1.43876652,1.2329,null,null,null,null,266.8018018,274.7555012,null,null,227.3504274,null,"Seattle, WA",Msa,0.015020482,3.806927518,1.05%
98204,Snohomish County,Paine Field-Lake Stickney,WA,Seattle-Tacoma-Bellevue,1.808,1.541135531,1.407436709,1.1609,null,null,null,null,239.5762121,227.1834802,null,null,233.4021134,null,"Seattle, WA",Msa,0.015020482,3.806927518,1.05%
98087,Snohomish County,Lynnwood,WA,Seattle-Tacoma-Bellevue,1.991176471,1.735981022,1.489469697,1.344076471,null,null,null,null,285.6386999,288.4615385,262.1434564,null,258.561495,null,"Seattle, WA",Msa,0.015020482,3.806927518,1.05%
98201,Snohomish County,Everett,WA,Seattle-Tacoma-Bellevue,1.902996019,1.625352113,1.471596019,1.255896019,null,null,null,null,null,274.7599053,null,null,null,null,"Seattle, WA",Msa,0.015020482,3.806927518,1.05%
98011,Snohomish County,Bothell,WA,Seattle-Tacoma-Bellevue,2.147477361,2.055555556,1.716077361,1.500377361,null,null,null,null,null,null,null,null,365.6745104,null,"Seattle, WA",Msa,0.015020482,3.806927518,1.05%
98037,Snohomish County,Lynnwood,WA,Seattle-Tacoma-Bellevue,2.046444122,1.830744122,1.615044122,1.399344122,null,null,null,null,null,317.771702,null,null,null,null,"Seattle, WA",Msa,0.015020482,3.806927518,1.05%
